order_id,product_category
ORD_0000637,"Sikat / Pembersih"
ORD_0000638,"Bangku / Kursi Kecil"
ORD_0000638,"Nampan / Tray"
ORD_0000639,"Mangkok Sambal / Saus"
ORD_0000640,Celengan
ORD_0000641,"Aksesoris Pintu"
ORD_0000642,Celengan
ORD_0000643,Celengan
ORD_0000644,"Aksesoris Pintu"
ORD_0000645,Celengan
ORD_0000646,"Aksesoris Pintu"
ORD_0000647,"Nampan / Tray"
ORD_0000648,"Seal / Baut / Roof"
ORD_0000649,"Peralatan Kamar Mandi"
ORD_0000651,Other
ORD_0000652,"Nampan / Tray"
ORD_0000653,"Aksesoris Pintu"
ORD_0000654,"Lunch Box / Rantang"
ORD_0000655,Celengan
ORD_0000656,"Pengolah Bumbu / Sayur"
ORD_0000658,Celengan
ORD_0000659,"Aksesoris Pintu"
ORD_0000660,"Aksesoris Pintu"
ORD_0000661,"Mangkok Sambal / Saus"
ORD_0000662,"Mangkok Sambal / Saus"
ORD_0000663,Celengan
ORD_0000664,"Rak / Rak Serbaguna"
ORD_0000665,"Gantungan Baju / Hanger"
ORD_0000666,"Mangkok Sambal / Saus"
ORD_0000667,Celengan
ORD_0000668,Celengan
ORD_0000669,"Seal / Baut / Roof"
ORD_0000670,"Stempel / Alat Kantor"
ORD_0000671,Celengan
ORD_0000672,"Stempel / Alat Kantor"
ORD_0000673,"Tempat Nasi"
ORD_0000674,"Nampan / Tray"
ORD_0000675,"Stempel / Alat Kantor"
ORD_0000676,"Mangkok Sambal / Saus"
ORD_0000677,"Mangkok Sambal / Saus"
ORD_0000678,Keranjang
ORD_0000679,"Aksesoris Pintu"
ORD_0000680,"Mangkok Sambal / Saus"
ORD_0000681,Celengan
ORD_0000682,"Peralatan Makan"
ORD_0000684,"Seal / Baut / Roof"
ORD_0000685,"Mangkok Sambal / Saus"
ORD_0000686,Celengan
ORD_0000687,"Baskom / Mangkok Besar"
ORD_0000687,Keranjang
ORD_0000688,"Aksesoris Pintu"
ORD_0000688,"Nampan / Tray"
ORD_0000688,Other
ORD_0000688,"Peralatan Makan"
ORD_0000688,"Pisau / Alat Potong"
